Surface_total,Surface_usable,Room,Bedroom,Bathroom,Parking,Service_fees,Location,URL,Price
32.0,32.0,2.0,1.0,1.0,,,Estacion Central,https://www.portalinmobiliario.com/MLC-978508141-av-libertador-bernardo-ohiggins-4320-783-11-_JM#position=10&search_layout=stack&type=item&tracking_id=459a1132-bbfe-43ea-bd29-53d2a560eeca,285000.0
53.0,53.0,,2.0,1.0,,,Estacion Central,https://www.portalinmobiliario.com/MLC-978770606-ecuador-4678-_JM#position=11&search_layout=stack&type=item&tracking_id=459a1132-bbfe-43ea-bd29-53d2a560eeca,360000.0
47.0,47.0,3.0,2.0,2.0,,,Estacion Central,https://www.portalinmobiliario.com/MLC-980084172-gral-amengual-102-745-22-_JM#position=12&search_layout=stack&type=item&tracking_id=459a1132-bbfe-43ea-bd29-53d2a560eeca,406000.0
29.0,27.0,,1.0,1.0,,35000.0,Estacion Central,https://www.portalinmobiliario.com/MLC-979153494-departamento-en-arriendo-de-1-dorm-en-estacion-central-_JM#position=13&search_layout=stack&type=item&tracking_id=459a1132-bbfe-43ea-bd29-53d2a560eeca,300000.0
29.0,27.0,,1.0,1.0,,35000.0,Estacion Central,https://www.portalinmobiliario.com/MLC-979148095-departamento-en-arriendo-de-1-dorm-en-estacion-central-_JM#position=14&search_layout=stack&type=item&tracking_id=459a1132-bbfe-43ea-bd29-53d2a560eeca,300000.0
30.0,30.0,,1.0,1.0,,,Estacion Central,https://www.portalinmobiliario.com/MLC-976135181-santa-petronila-32-_JM#position=15&search_layout=stack&type=item&tracking_id=459a1132-bbfe-43ea-bd29-53d2a560eeca,250000.0
70.0,70.0,,3.0,2.0,,,Estacion Central,https://www.portalinmobiliario.com/MLC-972728606-ecuador-5079-_JM#position=16&search_layout=stack&type=item&tracking_id=459a1132-bbfe-43ea-bd29-53d2a560eeca,450000.0
43.0,43.0,3.0,2.0,1.0,,,Estacion Central,https://www.portalinmobiliario.com/MLC-977969752-av-libertador-bernardo-ohiggins-4320-783-16-_JM#position=17&search_layout=stack&type=item&tracking_id=459a1132-bbfe-43ea-bd29-53d2a560eeca,370000.0
70.0,67.0,3.0,3.0,2.0,,108000.0,Estacion Central,https://www.portalinmobiliario.com/MLC-977748596-departamento-avenida-ecuador-id-67202-_JM#position=18&search_layout=stack&type=item&tracking_id=459a1132-bbfe-43ea-bd29-53d2a560eeca,465000.0
50.0,50.0,,2.0,2.0,,,Estacion Central,https://www.portalinmobiliario.com/MLC-977518273-ecuador-4707-_JM#position=19&search_layout=stack&type=item&tracking_id=459a1132-bbfe-43ea-bd29-53d2a560eeca,360000.0
55.0,55.0,2.0,2.0,2.0,,70000.0,Estacion Central,https://www.portalinmobiliario.com/MLC-977857321-departamento-avenida-ecuador-id-20119-_JM#position=20&search_layout=stack&type=item&tracking_id=459a1132-bbfe-43ea-bd29-53d2a560eeca,405000.0
48.0,48.0,3.0,2.0,1.0,,,Estacion Central,https://www.portalinmobiliario.com/MLC-976168115-av-libertador-bernardo-ohiggins-4320-783-17-_JM#position=21&search_layout=stack&type=item&tracking_id=459a1132-bbfe-43ea-bd29-53d2a560eeca,390000.0
36.0,35.0,1.0,1.0,1.0,,45000.0,Estacion Central,https://www.portalinmobiliario.com/MLC-977682029-departamento-apostol-santiago-id-45700-_JM#position=22&search_layout=stack&type=item&tracking_id=459a1132-bbfe-43ea-bd29-53d2a560eeca,320000.0
36.0,33.0,1.0,1.0,1.0,,50000.0,Estacion Central,https://www.portalinmobiliario.com/MLC-977873382-departamento-apostol-santiago-id-67544-_JM#position=23&search_layout=stack&type=item&tracking_id=459a1132-bbfe-43ea-bd29-53d2a560eeca,370000.0
51.0,51.0,,2.0,2.0,,,Estacion Central,https://www.portalinmobiliario.com/MLC-977453629-ecuador-5079-_JM#position=24&search_layout=stack&type=item&tracking_id=459a1132-bbfe-43ea-bd29-53d2a560eeca,380000.0
,,2.0,1.0,1.0,,,Estacion Central,https://www.portalinmobiliario.com/MLC-973239842-av-maria-rozas-velasquez-65-854-1-_JM#position=25&search_layout=stack&type=item&tracking_id=459a1132-bbfe-43ea-bd29-53d2a560eeca,290000.0
43.0,43.0,3.0,2.0,1.0,,,Estacion Central,https://www.portalinmobiliario.com/MLC-977877062-coronel-souper-4222-459-16-_JM#position=26&search_layout=stack&type=item&tracking_id=459a1132-bbfe-43ea-bd29-53d2a560eeca,373500.0
35.0,35.0,2.0,1.0,1.0,,,Estacion Central,https://www.portalinmobiliario.com/MLC-973788964-coronel-souper-4222-459-1-_JM#position=27&search_layout=stack&type=item&tracking_id=459a1132-bbfe-43ea-bd29-53d2a560eeca,319500.0
