Surface,Bedrooms,Bathrooms,Location,Price
137.0,4.0,4.0,Las Condes,1428576.0
170.0,3.0,4.0,Las Condes,1450000.0
130.0,2.0,3.0,Las Condes,1450000.0
120.0,2.0,3.0,Las Condes,1450000.0
120.0,2.0,3.0,Las Condes,1450000.0
120.0,2.0,3.0,Las Condes,1450000.0
150.0,4.0,3.0,Las Condes,900000.0
125.0,4.0,3.0,Las Condes,1450000.0
120.0,2.0,3.0,Las Condes,1450000.0
120.0,2.0,3.0,Las Condes,1450000.0
130.0,4.0,3.0,Las Condes,1450000.0
140.0,3.0,3.0,Las Condes,1450000.0
120.0,2.0,2.0,Las Condes,1450000.0
70.0,2.0,2.0,Las Condes,895000.0
170.0,4.0,3.0,Las Condes,1450000.0
120.0,3.0,3.0,Las Condes,1450000.0
137.0,3.0,3.0,Las Condes,1450000.0
104.0,3.0,3.0,Las Condes,900000.0
90.0,3.0,2.0,Las Condes,900000.0
152.0,4.0,3.0,Las Condes,1428576.0
78.0,2.0,2.0,Las Condes,1400000.0
80.0,2.0,2.0,Las Condes,900000.0
150.0,2.0,3.0,Las Condes,1400000.0
108.0,3.0,3.0,Las Condes,1400000.0
160.0,4.0,4.0,Las Condes,1400000.0
155.0,3.0,3.0,Las Condes,1400000.0
42.0,1.0,1.0,Las Condes,634923.0
144.0,4.0,4.0,Las Condes,1400000.0
75.0,1.0,1.0,Las Condes,900000.0
108.0,3.0,3.0,Las Condes,1400000.0
93.0,3.0,2.0,Las Condes,900000.0
165.0,3.0,3.0,Las Condes,1403179.0
76.0,2.0,2.0,Las Condes,1412703.0
89.0,3.0,3.0,Las Condes,900000.0
50.0,2.0,1.0,Las Condes,634923.0
150.0,4.0,3.0,Las Condes,900000.0
170.0,4.0,4.0,Las Condes,1428576.0
150.0,4.0,3.0,Las Condes,900000.0
90.0,3.0,2.0,Las Condes,900000.0
160.0,3.0,2.0,Las Condes,1365084.0
67.0,2.0,2.0,Las Condes,1550000.0
140.0,2.0,2.0,Las Condes,1555561.0
80.0,2.0,2.0,Las Condes,1682546.0
144.0,4.0,4.0,Las Condes,1682546.0
90.0,2.0,2.0,Las Condes,1700000.0
140.0,3.0,4.0,Las Condes,1700000.0
145.0,4.0,4.0,Las Condes,1700000.0
43.0,1.0,1.0,Las Condes,825400.0
168.0,4.0,4.0,Las Condes,1700000.0
164.0,4.0,4.0,Las Condes,1700000.0
40.0,1.0,1.0,Las Condes,490000.0
90.0,2.0,2.0,Las Condes,1700000.0
150.0,4.0,4.0,Las Condes,1700000.0
160.0,3.0,3.0,Las Condes,1700000.0
152.0,3.0,4.0,Las Condes,1700000.0
145.0,4.0,4.0,Las Condes,1700000.0
208.0,4.0,3.0,Las Condes,1700000.0
139.0,3.0,3.0,Las Condes,1700000.0
160.0,3.0,3.0,Las Condes,1700000.0
139.0,3.0,4.0,Las Condes,1682546.0
60.0,2.0,2.0,Las Condes,825400.0
60.0,1.0,1.0,Las Condes,825400.0
42.0,1.0,1.0,Las Condes,825400.0
90.0,2.0,2.0,Las Condes,1650000.0
100.0,3.0,2.0,Las Condes,1650000.0
147.0,3.0,3.0,Las Condes,1650000.0
90.0,2.0,2.0,Las Condes,1650000.0
57.0,2.0,2.0,Las Condes,825400.0
130.0,3.0,3.0,Las Condes,1650000.0
100.0,2.0,2.0,Las Condes,1650000.0
90.0,2.0,2.0,Las Condes,1650000.0
51.0,1.0,1.0,Las Condes,823800.0
147.0,3.0,2.0,Las Condes,1650000.0
120.0,3.0,2.0,Las Condes,1079369.0
83.0,2.0,2.0,Las Condes,1650000.0
187.0,3.0,3.0,Las Condes,1650799.0
150.0,2.0,2.0,Las Condes,1650799.0
160.0,3.0,3.0,Las Condes,1650799.0
61.0,2.0,2.0,Las Condes,825400.0
95.0,3.0,2.0,Las Condes,825400.0
80.0,2.0,2.0,Las Condes,1680000.0
90.0,2.0,2.0,Las Condes,1650000.0
68.0,2.0,2.0,Las Condes,1700000.0
140.0,3.0,4.0,Las Condes,1700000.0
51.0,1.0,1.0,Las Condes,823800.0
74.0,1.0,2.0,Las Condes,1746038.0
60.0,2.0,2.0,Las Condes,800955.0
140.0,4.0,3.0,Las Condes,1750000.0
120.0,3.0,3.0,Las Condes,1750000.0
140.0,4.0,4.0,Las Condes,1750000.0
200.0,3.0,2.0,Las Condes,1750000.0
168.0,4.0,3.0,Las Condes,1777784.0
105.0,2.0,3.0,Las Condes,1777784.0
80.0,2.0,2.0,Las Condes,1746038.0
105.0,2.0,3.0,Las Condes,1777784.0
175.0,3.0,3.0,Las Condes,1777784.0
178.0,4.0,3.0,Las Condes,1800000.0
160.0,3.0,3.0,Las Condes,1800000.0
71.0,2.0,2.0,Las Condes,800000.0
90.0,2.0,2.0,Las Condes,1800000.0
68.0,2.0,2.0,Las Condes,1800000.0
150.0,2.0,3.0,Las Condes,1800000.0
55.0,2.0,1.0,Las Condes,650000.0
140.0,3.0,4.0,Las Condes,1777784.0
240.0,3.0,4.0,Las Condes,1650000.0
70.0,2.0,2.0,Las Condes,1746038.0
140.0,4.0,3.0,Las Condes,1746038.0
139.0,3.0,3.0,Las Condes,1700000.0
120.0,3.0,3.0,Las Condes,1708000.0
135.0,3.0,2.0,Las Condes,1714292.0
107.0,3.0,2.0,Las Condes,1714292.0
170.0,3.0,3.0,Las Condes,1714292.0
138.0,3.0,2.0,Las Condes,1714292.0
134.0,3.0,2.0,Las Condes,1714292.0
108.0,3.0,2.0,Las Condes,1714292.0
51.0,1.0,1.0,Las Condes,807200.0
135.0,3.0,2.0,Las Condes,1714292.0
51.0,1.0,1.0,Las Condes,815500.0
80.0,2.0,2.0,Las Condes,815000.0
72.0,2.0,2.0,Las Condes,810000.0
65.0,2.0,2.0,Las Condes,809527.0
47.0,1.0,1.0,Las Condes,809527.0
118.0,2.0,2.0,Las Condes,1746038.0
80.0,2.0,2.0,Las Condes,1746038.0
90.0,2.0,2.0,Las Condes,1746038.0
50.0,1.0,1.0,Las Condes,650000.0
96.0,2.0,2.0,Las Condes,1650000.0
83.0,2.0,2.0,Las Condes,1650000.0
160.0,4.0,3.0,Las Condes,1638101.0
75.0,1.0,2.0,Las Condes,1587307.0
80.0,3.0,2.0,Las Condes,850000.0
140.0,3.0,3.0,Las Condes,1587307.0
65.0,1.0,1.0,Las Condes,850000.0
50.0,2.0,2.0,Las Condes,850000.0
35.0,1.0,1.0,Las Condes,850000.0
75.0,2.0,2.0,Las Condes,850000.0
140.0,4.0,3.0,Las Condes,1587307.0
90.0,2.0,2.0,Las Condes,1587307.0
60.0,2.0,2.0,Las Condes,850000.0
180.0,3.0,3.0,Las Condes,1587307.0
95.0,2.0,2.0,Las Condes,850000.0
140.0,3.0,3.0,Las Condes,1600000.0
120.0,3.0,3.0,Las Condes,850000.0
180.0,4.0,4.0,Las Condes,1600000.0
140.0,4.0,2.0,Las Condes,1600000.0
42.0,1.0,1.0,Las Condes,850000.0
60.0,2.0,2.0,Las Condes,850000.0
140.0,3.0,3.0,Las Condes,1587307.0
110.0,3.0,2.0,Las Condes,850000.0
150.0,3.0,2.0,Las Condes,1587307.0
135.0,5.0,3.0,Las Condes,1587307.0
132.0,3.0,4.0,Las Condes,1555561.0
74.0,1.0,2.0,Las Condes,1555561.0
46.0,1.0,1.0,Las Condes,850000.0
